"";"x"
"415";"ENSMUSG00000002329"
"416";"ENSMUSG00000002332"
"417";"ENSMUSG00000002341"
"418";"ENSMUSG00000002342"
"419";"ENSMUSG00000002343"
"420";"ENSMUSG00000002345"
"421";"ENSMUSG00000002346"
"422";"ENSMUSG00000002365"
"423";"ENSMUSG00000002372"
"424";"ENSMUSG00000002379"
"425";"ENSMUSG00000002384"
"426";"ENSMUSG00000002393"
"427";"ENSMUSG00000002395"
"428";"ENSMUSG00000002396"
"429";"ENSMUSG00000002409"
"430";"ENSMUSG00000002413"
"431";"ENSMUSG00000002416"
"432";"ENSMUSG00000002428"
"433";"ENSMUSG00000002455"
"434";"ENSMUSG00000002458"
"435";"ENSMUSG00000002459"
"436";"ENSMUSG00000002475"
"437";"ENSMUSG00000002477"
"438";"ENSMUSG00000002486"
"439";"ENSMUSG00000002489"
"440";"ENSMUSG00000002496"
"441";"ENSMUSG00000002500"
"442";"ENSMUSG00000002504"
"443";"ENSMUSG00000002524"
"444";"ENSMUSG00000002546"
"445";"ENSMUSG00000002550"
"446";"ENSMUSG00000002565"
"447";"ENSMUSG00000002578"
"448";"ENSMUSG00000002580"
"449";"ENSMUSG00000002588"
"450";"ENSMUSG00000002602"
"451";"ENSMUSG00000002603"
"452";"ENSMUSG00000002608"
"453";"ENSMUSG00000002617"
"454";"ENSMUSG00000002625"
"455";"ENSMUSG00000002633"
"456";"ENSMUSG00000002635"
"457";"ENSMUSG00000002658"
"458";"ENSMUSG00000002660"
"459";"ENSMUSG00000002661"
"460";"ENSMUSG00000002664"
"461";"ENSMUSG00000002668"
"462";"ENSMUSG00000002679"
"463";"ENSMUSG00000002688"
"464";"ENSMUSG00000002699"
"465";"ENSMUSG00000002718"
"466";"ENSMUSG00000002728"
"467";"ENSMUSG00000002731"
"468";"ENSMUSG00000002732"
"469";"ENSMUSG00000002733"
"470";"ENSMUSG00000002741"
"471";"ENSMUSG00000002748"
"472";"ENSMUSG00000002763"
"473";"ENSMUSG00000002767"
"474";"ENSMUSG00000002768"
"475";"ENSMUSG00000002769"
"476";"ENSMUSG00000002771"
"477";"ENSMUSG00000002778"
"478";"ENSMUSG00000002781"
"479";"ENSMUSG00000002791"
"480";"ENSMUSG00000002797"
"481";"ENSMUSG00000002799"
"482";"ENSMUSG00000002803"
"483";"ENSMUSG00000002804"
"484";"ENSMUSG00000002808"
"485";"ENSMUSG00000002812"
"486";"ENSMUSG00000002814"
"487";"ENSMUSG00000002820"
"488";"ENSMUSG00000002825"
"489";"ENSMUSG00000002831"
"490";"ENSMUSG00000002833"
"491";"ENSMUSG00000002835"
"492";"ENSMUSG00000002844"
"493";"ENSMUSG00000002845"
"494";"ENSMUSG00000002846"
